3DS;509
DS;2163
GBA;822
GC;556
GEN;27
N64;319
NES;98
NG;12
PC;960
PS;1196
PS2;2161
PS3;1329
PS4;336
PSP;1213
PSV;413
SAT;173
SCD;6
SNES;239
TG16;2
WS;6
WII;1325
WIIU;143
X360;1265
XB;824
XONE;213
